GENE_NAME	human.mean
E2F6	7.105
FEM1B	9.595
COMMD8	19.4075
MFSD7	6.845
MAP2K1	22.595
KLK7	8.3475
IRS1	3.61
MECP2	11.865
AR	2.1575
MARK2	12.25
DHRSX	23.045
C8orf46	3.485
HSPBAP1	5.38
PARM1	37.6425
FAM110B	6.285
AFAP1L2	14.345
HMMR	0.34
GOT1L1	0
ZBTB43	2.91
CPT1C	2.04
XPO6	31.4275
GSG1L	0.2325
APEX2	14.655
CHFR	10.345
NSMCE1	83.3575
CCDC126	5.215
RAB3B	0.6925
CD2BP2	35.1325
RSPO1	0.9475
RGS14	37.365
TBC1D10B	22.2425
TRHDE	2.835
RAB24	43
THBS3	16.8575
CA5B	2.6
SLC50A1	25
EFNA1	49.605
CXCL10	1.395
SH3TC2	0.1225
P4HA2	46.5425
NMD3	14.925
ADRB2	0.48
B3GALNT1	9.2675
GPRIN1	0.245
KCNAB1	1.32
SHE	5.28
NFATC3	10.1975
NR0B1	0
STK32A	2.63
IL1RAPL1	0.015
P2RY12	0.2525
PDILT	0.065
UMOD	1996.3275
GP2	6.645
SLC33A1	13.59
SNUPN	16.14
CRADD	15.2925
SIN3A	12.7025
ARL13B	4.5525
PTK2	38.125
PTAFR	1.2975
ACADVL	554.97
PTPN9	12.035
KCNK9	0.1175
CXCL8	1.7825
SCN9A	1.1625
RASSF6	4.6475
COL22A1	0.675
SDC2	54.5725
MAP3K14	6.5725
STK10	8.3925
OR4K14	0
TM2D2	34.835
HTRA4	1.1875
PLEKHA2	10.835
GPR183	1.1025
FBXW11	17.8275
METTL15	3.68
ZEB2	9.6675
GJB1	64.7625
CLIC3	1.175
BNC1	0.0625
DFFB	2.57
ACAP1	8.27
ANTXR1	6.21
GKN1	0
APLF	0.555
LUZP1	6.445
HEXDC	24.495
CRMP1	8.805
DRD5	0.09
SPNS1	26.4325
LRRC45	9.135
CHRNA5	0.315
AGPAT2	65.56
GP9	0.04
FASN	38.3725
EVC	18.47
CNBP	155.515
GPS1	119.8625
LDB2	17.2675
NRG4	1.52
DERL2	35.7975
TMEM266	2.4575
NLGN1	1.11
TAPT1	12.0725
TAS2R1	0
LINGO1	2.665
BTD	24.2375
CSGALNACT2	5.1575
TACR3	0.165
GSX1	0
SIDT1	1.2375
PCDH7	1.43
ONECUT1	0
AVEN	4.65
P2RY1	0.2
CTNND2	0.27
MUC17	0.0025
AHSP	0.23
NDE1	5.835
TPST1	10.0225
TM4SF4	0.5925
S100G	0.0475
MRVI1	5.1925
OTUD7A	1.8175
KLF13	22.79
FRMPD4	0.0175
ZFPM2	0.975
TAS1R3	0.165
TMEM42	13.6775
MAP3K2	6.3825
TMEM38A	7.6025
SF3B5	138.515
TIGD4	0.2925
NLGN2	6.8975
CHD3	42.2525
AP1M1	57.8725
ALCAM	12.0875
UBE2E3	47.3125
CNTROB	11.735
TRAPPC1	138.4375
ZPLD1	0.1775
KCNAB3	1.275
